ean,nombre,marca,medida,rubro,precio,precioNumerico
77907943,CARAMELO MASTICABLE TUTTI FRUTTI LENGUETAZO X 13 G,LENGUETAZO,GRM,Almacén,"0,00",0.0
77908308,ALFAJOR CHOCOLATE TITA X 36 GRS,TITA,GRM,Frutas y Verduras,"0,00",0.0
77908377,LICOR DE CAFE AL CONAC CUSENIER PETACA X 200 CC,CUSENIER,CM3,Bebidas,"0,00",0.0
77912718,(G)CHOCOLATE CON MANI SAPITO X 10 GRS,SAPITO,GRM,Desayuno,"0,00",0.0
77914217,TABLETA CHOCOLATE C MANI SHOT X 35 GRS,SHOT,GRM,Desayuno,"0,00",0.0
77915481,ALFAJOR TRIPLE PEPITOS X 57 GRS,PEPITOS,GRM,Frutas y Verduras,"0,00",0.0
77916501,BARRA DE CEREAL CEREAL MIX X 23 GRS,CEREAL MIX,GRM,Desayuno,"0,00",0.0
77916525,BARRA DE CEREAL CHOCOLATE ALM CEREAL MIX X 23 GRS,CEREAL MIX,GRM,Desayuno,"0,00",0.0
77917911,CHOCOLATE NEGRO SIN AZUCAR GEORGALOS X 30 GRS,GEORGALOS,GRM,Desayuno,"0,00",0.0
77919304,BARRA ARROZ BANADA CHOC.NEGRO LULEMUU PAQUETE X12G,LULEMUU,GRM,Desayuno,"0,00",0.0
77919311,BARRA ARROZ BANADA CHOC BLAN LULEMUU PAQUETE X12GR,LULEMUU,GRM,Desayuno,"0,00",0.0
77919335,BARRA DE ARROZ DULCE DE LECHE LULEMUU PAQUETEX12GR,LULEMUU,GRM,Lácteos,"0,00",0.0
77922120,BARRA CHOCOLATE C LECHE MANI COFLER BLOCK X 110 GR,COFLER,GRM,Lácteos,"0,00",0.0
77925763,BOMBON CHOCOLATE NEGRO OBLIBON X 17 GRS,OBLIBON,GRS,Desayuno,"0,00",0.0
77927361,TABLETA DULCE DE LECHE LIGHT VAUQUITA X 22 GRS.,VAUQUITA,GRM,Lácteos,"0,00",0.0
77928870,CHOCOLATE SABOR DULCE DE LECHE SAPITO X 10 GRS,SAPITO,GRM,Lácteos,"0,00",0.0
77929686,BOCADITO RELLENO NEGRO OBLIBON X 10 GRS,OBLIBON,GRS,Almacén,"0,00",0.0
77931764,CHICLE MENTA XPLOS TOPLINE X 14 GRS,TOPLINE,GRM,Almacén,"0,00",0.0
77932693,CHICLE MANDARINE S AZUCAR TOPLINE X 14 GRS,TOPLINE,GRM,Desayuno,"0,00",0.0
77934499,ALFAJOR CHOCOLATE CACHAFAZ X 60 GRS.,CACHAFAZ,GRM,Frutas y Verduras,"0,00",0.0
77939234,ALFAJOR CHOCOLATE TERRABUSI X 50 GRS,TERRABUSI,GRM,Frutas y Verduras,"0,00",0.0
77939753,CHICLE ADULTO ATMIC STRONG TOPLINE 7 X 14.7 GRS,TOPLINE,GRM,Bebidas,"0,00",0.0
77940131,TURRON Y MANI ARCOR X 25 GRS.,ARCOR,GRM,Bebidas,"0,00",0.0
77940148,TURRON DE MANI MISKY X 25 GRS,MISKY,GRM,Bebidas,"0,00",0.0
77944405,PASTILLA ACIDA SABOR CEREZA MENTHOPLUS X 27 GRS,MENTHOPLUS,GRS,Almacén,"0,00",0.0
77944412,PASTILLA ACIDA SABOR NARANJA MENTHOPLUS X 27 GRS,MENTHOPLUS,GRS,Frutas y Verduras,"0,00",0.0
77945532,ANTITRANSP ROLLON CLEAN COMFORT DOVE MEN X 50CC,DOVE,CM3,Perfumería,"0,00",0.0
77948588,CHICLE SANDIA TOPLINE X 14 GRS,TOPLINE,GRM,Almacén,"0,00",0.0
77949677,BARRA DE CHOCOLATE MIXTO KINDER X 4 UNI,KINDER,GRM,Desayuno,"0,00",0.0
77949707,BARRA DE CHOCOLATE MIXTO NATOONS KINDER X 8 UNI,KINDER,GRM,Desayuno,"0,00",0.0
77953124,TABLETA CHOCOLATE C MANI COFLER BLOCK X 38 GRS,BLOCK,GRS,Desayuno,"0,00",0.0
77954411,OBLEA RELLENA DE LIMON LULEMUUX 15 GRS,LULEMUU,GRM,Frutas y Verduras,"0,00",0.0
77955159,BARRA S TACC ALMENDRAS Y COCO ZAFRAN X 28 GRS,ZAFRAN,GRS,Almacén,"0,00",0.0
77955166,BARRA S TACC MANI Y CACAO ZAFRAN X 28 GRS,ZAFRAN,GRS,Desayuno,"0,00",0.0
77955173,BARRA S TACC MANZANA Y CHIA ZAFRAN X 28 GRS,ZAFRAN,GRS,Frutas y Verduras,"0,00",0.0
77955197,BARRA S TACC CAJU SEM ZAPALLO ZAFRAN X 28 GRS,ZAFRAN,GRS,Frutas y Verduras,"0,00",0.0
77956262,SAL FINA CELUSAL SALERO X 250 GRS,CELUSAL,GRM,Almacén,"0,00",0.0
77956699,ALFAJOR CHOCOLATE TRIPLE TRI SHOT X 60 GRS,SHOT,GRM,Frutas y Verduras,"0,00",0.0
77958105,ALFAJOR MUSSE CHOCOLATE DOBLE VIMAR X 42 GRS,VIMAR,GRS,Frutas y Verduras,"0,00",0.0
77958228,CUBANITO RELLENO DE AVELLANA REPOP LULEMUU X 15GR,LULEMUU,GRM,Almacén,"0,00",0.0
77958259,ALFAJOR GLASEADO C DDL ESCOLAR VIMAR X 28 GRS,VIMAR,GRS,Frutas y Verduras,"0,00",0.0
77958310,ALFAJOR GLASEADO C DDL DOBLE VIMAR X 38 GRS,VIMAR,GRS,Frutas y Verduras,"0,00",0.0
77958327,ALFAJOR CHOCOLATE DOBLE VIMAR X 38 GRS,VIMAR,GRS,Frutas y Verduras,"0,00",0.0
77958341,ALFAJOR GLASEADO TRIPLE VIMAR X 60 GRS,VIMAR,GRM,Frutas y Verduras,"0,00",0.0
77958365,ALFAJOR CHOCOLATE TRIPLE VIMAR X 60 GRS,VIMAR,GRM,Frutas y Verduras,"0,00",0.0
77958624,CARAMELOS MENTHOL MENTHOPLUS X 29.4 GRS,MENTHOPLUS,GRS,Almacén,"0,00",0.0
77958648,CARAMELOS STRONG MENTHOPLUS X 29.4 GRS,MENTHOPLUS,GRS,Bebidas,"0,00",0.0
77958662,CARAMELOS MENTA MENTHOPLUS X 29.4 GRS,MENTHOPLUS,GRS,Almacén,"0,00",0.0
77958921,BOMBON CHOCOLATE LECHE BON O BON X 15 GRS,BON O BON,GRS,Lácteos,"0,00",0.0
77958945,POMADA NEGRA WASSINGTON LATA X 54 GRS,WASSINGTON,GRM,Almacén,"0,00",0.0
77958952,POMADA MARRON WASSINGTON LATA X 60 GRS,WASSINGTON,GRM,Bebidas,"0,00",0.0
77958969,POMADA INCOLORA WASSINGTON LATA X 54 GRS,WASSINGTON,GRM,Almacén,"0,00",0.0
77961815,BOMBON CHOCOLATE BLANCO BON O BON X 15 GRS,BON O BON,GRS,Desayuno,"0,00",0.0
77965233,SEMILLAS DE GIRASOL PIPAS X 18 GRS,PIPAS,GRM,Almacén,"0,00",0.0
77965370,BARRA CEREAL LIGHT YOGHU FRUT CEREAL MIX X26G,CEREAL MIX,GRS,Desayuno,"0,00",0.0
77965677,BARRITA BANADA LIMON LULEMUU X 12 GRS,LULEMUU,GRS,Frutas y Verduras,"0,00",0.0
77966865,OBLEA RELLENA DE MANI CHORQUI LULEMUU PAQ X 20 GR,LULEMUU,GRM,Almacén,"0,00",0.0
77967022,HUMO LIQUIDO PEPE RONCINO X 70 GRS,SAN GIORGIO,CM3,Bebidas,"0,00",0.0
