supermercado,provincia,localidad,direccion,latitude,longitude
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Aráoz 1140,-34.5944811,-58.4287844
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Av. Belgrano 3043,-34.6150327,-58.4089726
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Nogoyá 3644,-34.6064545,-58.4977992
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Av. Gaona 2964,-34.6171632,-58.4673809
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Av. Directorio 4989,-34.6505978,-58.4909253
Carrefour Express,Buenos Aires,San Martín,Yapeyú 2059,-34.575415,-58.5358556
Carrefour Maxi,La Pampa,Santa Rosa,Av. Agustín Spinetto 551,-36.6106962,-64.2826137
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Hidalgo 92,-34.6178481,-58.4382899
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Sucre 2774,-34.5659621,-58.4583871
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Coronel Martiniano Chilavert 6901,-34.689486,-58.479694
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Carrasco 421,-34.6321747,-58.491325
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Virrey del Pino 2527,-34.5671017,-58.454232
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Chile 701,-34.616173,-58.3760743
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Álvarez Jonte 3079,-34.6094341,-58.4861281
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Arregui 6369,-34.6282365,-58.5237762
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Av. Raúl Scalabrini Ortiz 1396,-34.5922098,-58.4271496
Carrefour Maxi,Neuquén,Plaza Huincul,Ruta 22 y Ruta 17,-38.9304191,-69.200246
Carrefour Maxi,Neuquén,Neuquén,RN22 y Ruta 17,-38.9519679,-68.0591741
